municipio;parroquia;nombre;tipo_centro;situacion;latitud;longitud
MP. INDEPENDENCIA;CM. SOLEDAD;ESCUELA BOLIVARIANA SANTA CRUZ DEL TIGRE;EDUCACION BASICA;Cerrado;8.81833104;-63.48883698
MP. ANACO;PQ. SAN JOAQUIN;UNIDAD EDUCATIVA LAS PARCELAS NUCLEO DE EDUCACION RURAL 595;UNIDAD EDUCATIVA;Cerrado;9.30951801;-64.48140504
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;ESCUELA BASICA VISTA AL SOL;EDUCACION BASICA;Cerrado;8.89913403;-64.17831402
MP. FREITES;CM. CANTAURA;ESCUELA UNITARIA EL MEREY;EDUCACION BASICA;Cerrado;8.819145;-63.65553201
MP. SANTA ANA;PQ. SANTA ANA;LICEO BOLIVARIANO PEDRO GRANADO PEREZ;LICEO;Cerrado;9.31168998;-64.65843999
MP. SIMON RODRIGUEZ;CM. EL TIGRE;UNIDAD EDUCATIVA MIGUEL OTERO SILVA;UNIDAD EDUCATIVA;Cerrado;8.90305398;-64.22560902
MP. ANACO;PQ. SAN JOAQUIN;UNIDAD EDUCATIVA  PEDRO ANTONIO MEDINA;UNIDAD EDUCATIVA;Cerrado;9.31361301;-64.47482397
MP. ANACO;PQ. ANACO;ESCUELA BASICA AGUSTIN CODAZZI;EDUCACION BASICA;Cerrado;9.31898997;-64.44579996
MP. FREITES;CM. CANTAURA;ESCUELA NACIONAL CONCENTRADA NUMERO 1759-1763 LAS COLMENAS;EDUCACION BASICA;Cerrado;9.00882297;-63.69259599
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;CENTRO DE EDUCACION INICIAL LOS SAUCES;EDUCACION INICIAL;Cerrado;8.90362098;-64.17921798
MP. MONAGAS;PQ. SN DIEGO DE CABRUTICA;ESCUELA ESTADAL UNITARIA NUMERO 246;EDUCACION BASICA;Cerrado;8.55583497;-64.82842398
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;ESCUELA BASICA EL MIRADOR;EDUCACION BASICA;Cerrado;8.90547804;-64.172556
MP. MONAGAS;PQ. SN DIEGO DE CABRUTICA;UNIDAD EDUCATIVA COGOLLAL NUCLEO DE EDUCACION RURAL 445;UNIDAD EDUCATIVA;Cerrado;8.60112198;-65.08445904
MP. SIMON RODRIGUEZ;CM. EL TIGRE;UNIDAD EDUCATIVA LA BOMBA NUMERO 1;UNIDAD EDUCATIVA;Cerrado;8.92867203;-64.23362199
MP. BOLIVAR;PQ. SAN CRISTOBAL;CENTRO DE EDUCACION  INICIAL FELICIDAD MATA DE GOMEZ;EDUCACION INICIAL;Cerrado;10.08127503;-64.68243399
MP. FREITES;CM. CANTAURA;ESCUELA BOLIVARIANA LAS POTOCAS;EDUCACION BASICA;Cerrado;9.10549503;-64.25787897
MP. BOLIVAR;PQ. EL CARMEN;UNIDAD EDUCATIVA GENERAL FRANCISCO DE MIRANDA;UNIDAD EDUCATIVA;Cerrado;10.16309997;-64.69462296
MP. FREITES;CM. CANTAURA;ESCUELA BOLIVARIANA MARE MARE;EDUCACION BASICA;Cerrado;9.20367;-64.28958597
MP. BOLIVAR;PQ. SAN CRISTOBAL;ESCUELA NACIONAL ILUSTRE SIMON BOLIVAR;EDUCACION BASICA;Cerrado;10.08437697;-64.68166404
MP. BOLIVAR;PQ. SAN CRISTOBAL;LICEO BOLIVARIANO MESONES;LICEO;Cerrado;10.08468801;-64.69264899
